0047808109;01;0002418664;7513
0047808109;02;0002418664;7513
0047808318;01;0002418664;7513
0047808318;02;0002418664;7513
0047808318;03;0002418664;7513
0047808318;04;0002418664;7513
0047808839;02;0002418664;7513
0047808839;03;0002418664;7513
0047808839;04;0002418664;7513
0047808839;05;0002418664;7513
0047808885;01;0002418664;7513
0047808885;02;0002418664;7513
0047808885;03;0002418664;7513
0047808910;01;0002418664;7513
0047808910;02;0002418664;7513
0047808910;03;0002418664;7513
0047808910;04;0002418664;7513
0047808910;05;0002418664;7513
0047808928;01;0002418664;7513
0047808928;02;0002418664;7513
0047808928;03;0002418664;7513
0047808982;01;0002418664;7513
0047808982;02;0002418664;7513
0047808982;03;0002418664;7513
0047808994;01;0002418664;7513
0047808994;02;0002418664;7513
0047808994;03;0002418664;7513
0047809099;01;0002418664;7513
0047809099;02;0002418664;7513
0047809099;03;0002418664;7513
0047809099;04;0002418664;7513
0047809099;05;0002418664;7513
0047809122;01;0002418664;7513
0047809122;02;0002418664;7513
0047809122;03;0002418664;7513
0047809144;02;0002386058;7513
0047809144;03;0002386058;7513
0047809144;04;0002386058;7513
0047809146;02;0002386055;7513
0047809146;03;0002386055;7513
0047809168;01;0002418664;7513
0047809168;02;0002418664;7513
0047809168;03;0002418664;7513
0047809198;01;0002418664;7513
0047809198;02;0002418664;7513
0047809198;03;0002418664;7513
0047809201;02;0002386058;7513
0047809201;03;0002386058;7513
0047809218;01;0002386055;7513
0047809218;02;0002386055;7513
0047809218;03;0002386055;7513
0047809261;01;0002386057;7513
0047809261;02;0002386057;7513
0047809261;03;0002386057;7513
0047809273;02;0002386055;7513
0047809273;03;0002386055;7513
0047809273;04;0002386055;7513
0047809273;05;0002386055;7513
0047809273;06;0002386055;7513
0047809291;02;0002386058;7513
0047809291;03;0002386058;7513
0047809307;01;0002386055;7513
0047809307;02;0002386055;7513
0047809307;03;0002386055;7513
0047809325;01;0002386055;7513
0047809325;02;0002386055;7513
0047809325;03;0002386055;7513
0047809333;02;0002386058;7513
0047809333;03;0002386058;7513
0047809334;01;0002386057;7513
0047809334;02;0002386057;7513
0047809334;03;0002386057;7513
0047809347;02;0002386058;7513
0047809347;03;0002386058;7513
0047809352;01;0002386057;7513
0047809352;02;0002386057;7513
0047809352;03;0002386057;7513
0047809352;04;0002386057;7513
0047809365;01;0002386055;7513
0047809365;02;0002386055;7513
0047809365;03;0002386055;7513
0047809385;01;0002386057;7513
0047809385;02;0002386057;7513
0047809385;03;0002386057;7513
0047809385;04;0002386057;7513
0047809386;01;0002386058;7513
0047809386;02;0002386058;7513
0047809386;03;0002386058;7513
0047809395;01;0002386055;7513
0047809395;02;0002386055;7513
0047809395;03;0002386055;7513
0047809405;03;0002386058;7513
0047809416;01;0002386058;7513
0047809416;02;0002386058;7513
0047809416;03;0002386058;7513
0047809420;01;0002386057;7513
0047809420;02;0002386057;7513
0047809420;03;0002386057;7513
0047809436;01;0002386055;7513
0047809436;02;0002386055;7513
0047809440;01;0002386055;7513
0047809440;02;0002386055;7513
0047809440;03;0002386055;7513
0047809440;04;0002386055;7513
0047809440;05;0002386055;7513
0047809440;06;0002386055;7513
0047809456;01;0002386058;7513
0047809456;02;0002386058;7513
0047809456;03;0002386058;7513
0047809457;01;0002386055;7513
0047809457;02;0002386055;7513
0047809457;03;0002386055;7513
0047809458;01;0002386057;7513
0047809458;02;0002386057;7513
0047809458;03;0002386057;7513
0047809460;01;0002386058;7513
0047809460;02;0002386058;7513
0047809460;03;0002386058;7513
0047809467;01;0002386055;7513
0047809467;02;0002386055;7513
0047809467;03;0002386055;7513
0047809467;04;0002386055;7513
0047809467;05;0002386055;7513
0047809467;06;0002386055;7513
0047809472;01;0002386055;7513
0047809472;02;0002386055;7513
0047809472;03;0002386055;7513
0047809473;02;0002386058;7513
0047809473;03;0002386058;7513
0047809493;01;0002386058;7513
0047809493;02;0002386058;7513
0047809493;03;0002386058;7513
0047809502;01;0002386057;7513
0047809502;02;0002386057;7513
0047809502;03;0002386057;7513
0047809502;04;0002386057;7513
0047809502;05;0002386057;7513
0047809502;06;0002386057;7513
0047809514;01;0002386055;7513
0047809514;02;0002386055;7513
0047809514;03;0002386055;7513
0047809518;02;0002386058;7513
0047809518;03;0002386058;7513
0047809526;01;0002386058;7513
0047809526;02;0002386058;7513
0047809526;03;0002386058;7513
0047809583;01;0002386055;7513
0047809583;02;0002386055;7513
0047809583;03;0002386055;7513
0047809591;02;0002386058;7513
0047809591;03;0002386058;7513
0047809593;02;0002386058;7513
0047809593;03;0002386058;7513
0047809607;01;0002386057;7513
0047809607;02;0002386057;7513
0047809607;03;0002386057;7513
0047809607;04;0002386057;7513
0047809607;05;0002386057;7513
0047809607;06;0002386057;7513
0047809617;01;0002386058;7513
0047809617;02;0002386058;7513
0047809617;03;0002386058;7513
0047809643;01;0002386055;7513
0047809643;02;0002386055;7513
0047809643;03;0002386055;7513
0047809643;04;0002386055;7513
0047809645;01;0002386055;7513
0047809645;02;0002386055;7513
0047809645;03;0002386055;7513
0047809670;01;0002386057;7513
0047809670;02;0002386057;7513
0047809670;03;0002386057;7513
0047809670;04;0002386057;7513
0047809670;05;0002386057;7513
0047809670;06;0002386057;7513
0047809683;01;0002386057;7513
0047809683;02;0002386057;7513
