"ETA","NUM","CODA","CODN","CIUDAD","ABR","DIST.","TIEM.","DÍAS","SALE","PONE","OBSERVACIONES","REGION"
02,49,"BRA",053,"SANTOS","SP",13,00:50:00,3,00:00:00,00:00:00,"GRAN BAIXADA SANTISTA. FERRY: 170 METROS.",160
02,50,"BRA",206,"CUBATÃO","SP",16,00:19:00,1,06:49:00,17:33:00,"GRAN BAIXADA SANTISTA.",160
02,51,"BRA",222,"RIBEIRÃO PIRES","SP",49,00:58:00,1,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
02,52,"BRA",049,"MAUÁ","SP",8,00:17:00,3,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
02,53,"BRA",025,"SANTO ANDRÉ","SP",9,00:21:00,4,06:48:00,17:37:00,"GRAN SÃO PAULO.",160
02,54,"BRA",021,"SÃO BERNARDO DO CAMPO","SP",7,00:18:00,4,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
03,01,"BRA",055,"DIADEMA","SP",8,00:22:00,3,06:46:00,17:40:00,"GRAN SÃO PAULO.",160
03,02,"BRA",177,"SÃO CAETANO DO SUL","SP",10,00:20:00,1,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
03,03,"BRA",001,"SÃO PAULO","SP",16,00:37:00,16,06:33:00,17:49:00,"GRAN SÃO PAULO.",160
03,04,"BRA",028,"OSASCO","SP",24,00:36:00,3,06:34:00,17:50:00,"GRAN SÃO PAULO.",160
03,05,"BRA",059,"CARAPICUÍBA","SP",11,00:18:00,3,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
03,06,"BRA",096,"BARUERI","SP",5,00:12:00,2,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
03,07,"BRA",198,"SANTANA DE PARNAÍBA","SP",13,00:23:00,1,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
03,08,"BRA",192,"FRANCO DA ROCHA","SP",41,01:03:00,1,06:28:00,17:53:00,"GRAN SÃO PAULO.",160
03,09,"BRA",162,"FRANCISCO MORATO","SP",12,00:22:00,1,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
03,10,"BRA",228,"VÁRZEA PAULISTA","SP",21,00:29:00,1,00:00:00,00:00:00,"GRAN JUNDAÍ.",160
03,11,"BRA",058,"JUNDIAÍ","SP",8,00:19:00,3,00:00:00,00:00:00,"GRAN JUNDAÍ.",160
03,12,"BRA",174,"ITU","SP",49,00:49:00,1,00:00:00,00:00:00,"GRAN SOROCABA.",160
03,13,"BRA",239,"SALTO","SP",8,00:17:00,1,06:24:00,17:57:00,"GRAN SOROCABA.",160
03,14,"BRA",110,"INDAIATUBA","SP",17,00:25:00,2,00:00:00,00:00:00,"GRAN CAMPINAS.",160
03,15,"BRA",224,"VALINHOS","SP",41,00:42:00,1,00:00:00,00:00:00,"GRAN CAMPINAS.",160
03,16,"BRA",014,"CAMPINAS","SP",11,00:24:00,5,06:16:00,17:59:00,"GRAN CAMPINAS.",160
03,17,"BRA",124,"HORTOLÂNDIA","SP",19,00:27:00,2,00:00:00,00:00:00,"GRAN CAMPINAS.",160
03,18,"BRA",095,"SUMARÉ","SP",9,00:18:00,2,00:00:00,00:00:00,"GRAN CAMPINAS. 07/09: INDEPENDENCIA.",160
03,19,"BRA",261,"PAULÍNIA","SP",24,00:31:00,1,00:00:00,00:00:00,"GRAN CAMPINAS.",160
03,20,"BRA",116,"AMERICANA","SP",25,00:36:00,2,06:11:00,18:02:00,"GRAN CAMPINAS.",160
03,21,"BRA",150,"SANTA BÁRBARA D'OESTE","SP",13,00:22:00,1,00:00:00,00:00:00,"GRAN CAMPINAS.",160
03,22,"BRA",060,"PIRACICABA","SP",28,00:31:00,2,00:00:00,00:00:00,0,160
03,23,"BRA",194,"BOTUCATU","SP",115,01:52:00,1,00:00:00,00:00:00,0,160
03,24,"BRA",187,"JAÚ","SP",95,01:13:00,1,06:11:00,18:11:00,0,160
03,25,"BRA",068,"BAURU","SP",55,00:50:00,2,00:00:00,00:00:00,0,160
03,26,"BRA",127,"MARÍLIA","SP",106,01:21:00,2,00:00:00,00:00:00,0,160
03,27,"BRA",258,"OURINHOS","SP",93,01:26:00,1,00:00:00,00:00:00,0,160
03,28,"BRA",129,"PRESIDENTE PRUDENTE","SP",195,02:23:00,2,00:00:00,00:00:00,0,160
03,29,"BRA",140,"DOURADOS","MS",447,05:38:00,2,05:27:00,17:36:00,"GMT: -4. REGIÓN 157: 356 KM.",160
03,30,"BRA",283,"CORUMBÁ","MS",609,07:09:00,2,00:00:00,00:00:00,0,160
03,31,"BRA",020,"CAMPO GRANDE","MS",427,05:27:00,4,05:19:00,17:37:00,0,160
03,32,"BRA",247,"TRÊS LAGOAS","MS",325,04:15:00,1,00:00:00,00:00:00,0,160
03,33,"BRA",149,"ARAÇATUBA","SP",150,01:56:00,1,00:00:00,00:00:00,"GMT: -3. REGIÓN 160: 140 KM.",160
03,34,"BRA",233,"BIRIGUI","SP",19,00:26:00,1,00:00:00,00:00:00,0,160
03,35,"BRA",054,"SÃO JOSÉ DO RIO PRETO","SP",140,01:59:00,3,00:00:00,00:00:00,0,160
03,36,"BRA",230,"CATANDUVA","SP",61,00:54:00,1,06:50:00,19:17:00,"GMT: -2.",160
03,37,"BRA",238,"BARRETOS","SP",109,01:26:00,1,00:00:00,00:00:00,0,160
03,38,"BRA",072,"FRANCA","SP",140,01:49:00,2,00:00:00,00:00:00,0,160
03,39,"BRA",221,"SERTÃOZINHO","SP",109,01:26:00,1,00:00:00,00:00:00,"GRAN RIBEIRÃO PRETO. 12/10: NUESTRA SEÑORA APARECIDA.",160
03,40,"BRA",027,"RIBEIRÃO PRETO","SP",21,00:26:00,4,06:40:00,19:14:00,"GRAN RIBEIRÃO PRETO.",160
03,41,"BRA",126,"ARARAQUARA","SP",87,01:10:00,2,00:00:00,00:00:00,0,160
03,42,"BRA",114,"SÃO CARLOS","SP",43,00:40:00,2,00:00:00,00:00:00,0,160
03,43,"BRA",280,"LEME","SP",89,01:10:00,1,00:00:00,00:00:00,"GRAN PIRACICABA.",160
03,44,"BRA",215,"ARARAS","SP",25,00:25:00,1,06:32:00,19:17:00,"GRAN PIRACICABA.",160
03,45,"BRA",143,"RIO CLARO","SP",27,00:35:00,1,00:00:00,00:00:00,"GRAN PIRACICABA.",160
03,46,"BRA",087,"LIMEIRA","SP",29,00:32:00,2,00:00:00,00:00:00,"GRAN PIRACICABA.",160
03,47,"BRA",189,"MOGI GUAÇU","SP",63,00:55:00,1,00:00:00,00:00:00,0,160
03,48,"BRA",275,"ITATIBA","SP",107,01:55:00,1,00:00:00,00:00:00,"GRAN CAMPINAS.",160
03,49,"BRA",171,"BRAGANÇA PAULISTA","SP",37,00:40:00,1,00:00:00,00:00:00,"GRAN BRAGANÇA PAULISTA.",160
03,50,"BRA",210,"ATIBAIA","SP",24,00:26:00,1,06:22:00,19:18:00,"GRAN BRAGANÇA PAULISTA.",160
04,01,"BRA",013,"GUARULHOS","SP",61,01:00:00,5,00:00:00,00:00:00,"GRAN SÃO PAULO. 02/11: DÍA DE LOS MUERTOS.",160
04,02,"BRA",067,"ITAQUAQUECETUBA","SP",27,00:30:00,2,06:17:00,19:21:00,"GRAN SÃO PAULO.",160
04,03,"BRA",154,"FERRAZ DE VASCONCELOS","SP",13,00:34:00,1,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
04,04,"BRA",248,"POÁ","SP",4,00:14:00,1,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
04,05,"BRA",092,"SUZANO","SP",4,00:11:00,2,00:00:00,00:00:00,"GRAN SÃO PAULO.",160
04,06,"BRA",057,"MOGI DAS CRUZES","SP",16,00:33:00,3,06:13:00,19:25:00,"GRAN SÃO PAULO.",160
04,07,"BRA",125,"JACAREÍ","SP",50,00:49:00,2,00:00:00,00:00:00,"GRAN VALE DO PARAÍBA E LITORAL NORTE.",160
04,08,"BRA",026,"SÃO JOSÉ DOS CAMPOS","SP",21,00:30:00,4,00:00:00,00:00:00,"GRAN VALE DO PARAÍBA E LITORAL NORTE. 15/09: PROCLAMACIÓN DE LA REPÚBLICA.",160
04,09,"BRA",242,"CARAGUATATUBA","SP",94,01:38:00,1,06:07:00,19:27:00,"GRAN VALE DO PARAÍBA E LITORAL NORTE.",160
04,10,"BRA",085,"TAUBATÉ","SP",115,01:42:00,2,00:00:00,00:00:00,"GRAN VALE DO PARAÍBA E LITORAL NORTE.",160
04,11,"BRA",176,"PINDAMONHANGABA","SP",20,00:27:00,1,00:00:00,00:00:00,"GRAN VALE DO PARAÍBA E LITORAL NORTE.",160
04,12,"BRA",243,"GUARATINGUETÁ","SP",37,00:37:00,1,00:00:00,00:00:00,"GRAN VALE DO PARAÍBA E LITORAL NORTE.",160
04,13,"BRA",223,"RESENDE","RJ",98,01:18:00,1,00:00:00,00:00:00,"REGIÓN 159: 43 KM.",159
04,14,"BRA",098,"VOLTA REDONDA","RJ",66,01:38:00,2,06:03:00,19:25:00,0,159
04,15,"BRA",156,"BARRA MANSA","RJ",11,00:19:00,1,00:00:00,00:00:00,0,159
04,16,"BRA",147,"ANGRA DOS REIS","RJ",96,01:55:00,1,00:00:00,00:00:00,0,159
04,17,"BRA",214,"ITAGUAÍ","RJ",85,01:29:00,1,00:00:00,00:00:00,"GRAN RÍO DE JANEIRO.",159
04,18,"BRA",002,"RIO DE JANEIRO","RJ",90,01:29:00,12,06:00:00,19:31:00,"GRAN RÍO DE JANEIRO.",159
04,19,"BRA",018,"DUQUE DE CAXIAS","RJ",26,00:30:00,4,00:00:00,00:00:00,"GRAN RÍO DE JANEIRO.",159
04,20,"BRA",050,"SÃO JOÃO DE MERITI","RJ",10,00:19:00,3,06:04:00,19:36:00,"GRAN RÍO DE JANEIRO.",159
04,21,"BRA",175,"NILÓPOLIS","RJ",11,00:32:00,1,00:00:00,00:00:00,"GRAN RÍO DE JANEIRO.",159
04,22,"BRA",160,"MESQUITA","RJ",4,00:10:00,1,00:00:00,00:00:00,"GRAN RÍO DE JANEIRO.",159
04,23,"BRA",043,"BELFORD ROXO","RJ",8,00:23:00,3,00:00:00,00:00:00,"GRAN RÍO DE JANEIRO.",159
04,24,"BRA",023,"NOVA IGUAÇU","RJ",7,00:20:00,4,06:08:00,19:40:00,"GRAN RÍO DE JANEIRO. 25/12: NAVIDAD.",159
04,25,"BRA",181,"QUEIMADOS","RJ",18,00:27:00,1,00:00:00,00:00:00,"GRAN RÍO DE JANEIRO.",159
04,26,"BRA",270,"JAPERI","RJ",27,00:30:00,1,00:00:00,00:00:00,"GRAN RÍO DE JANEIRO.",159
04,27,"BRA",173,"TERESÓPOLIS","RJ",132,03:09:00,1,00:00:00,00:00:00,0,159
